,Price,Age,KM,HP,MetColor,Automatic,CC,Weight,FuelType_CNG,FuelType_Diesel,FuelType_Petrol,Doors_2,Doors_3,Doors_4,Doors_5
0,13500,23.0,46986.0,90.0,1.0,0,2000,1165,0,1,0,0,1,0,0
1,13750,23.0,72937.0,90.0,1.0,0,2000,1165,0,1,0,0,1,0,0
2,13950,24.0,41711.0,90.0,1.0,0,2000,1165,0,1,0,0,1,0,0
3,14950,26.0,48000.0,90.0,0.0,0,2000,1165,0,1,0,0,1,0,0
4,13750,30.0,38500.0,90.0,0.0,0,2000,1170,0,1,0,0,1,0,0
5,12950,32.0,61000.0,90.0,0.0,0,2000,1170,0,1,0,0,1,0,0
6,16900,27.0,63634.0,101.0,1.0,0,2000,1245,0,1,0,0,1,0,0
7,18600,30.0,75889.0,90.0,1.0,0,2000,1245,0,0,1,0,1,0,0
8,21500,27.0,19700.0,192.0,0.0,0,1800,1185,0,0,1,0,1,0,0
9,12950,23.0,71138.0,101.0,1.0,0,1900,1105,0,1,0,0,1,0,0
10,20950,25.0,31461.0,192.0,0.0,0,1800,1185,0,0,1,0,1,0,0
11,19950,22.0,43610.0,192.0,0.0,0,1800,1185,0,0,1,0,1,0,0
12,19600,25.0,32189.0,192.0,0.0,0,1800,1185,0,0,1,0,1,0,0
13,21500,31.0,23000.0,192.0,1.0,0,1800,1185,0,0,1,0,1,0,0
14,22500,32.0,34131.0,192.0,1.0,0,1800,1185,0,0,1,0,1,0,0
15,22000,28.0,18739.0,101.0,0.0,0,1800,1185,0,0,1,0,1,0,0
16,22750,30.0,34000.0,192.0,1.0,0,1800,1185,0,0,1,0,1,0,0
17,17950,24.0,21716.0,110.0,1.0,0,1600,1105,0,0,1,0,1,0,0
18,16750,24.0,25563.0,110.0,0.0,0,1600,1065,0,0,1,0,1,0,0
19,16950,30.0,64359.0,110.0,1.0,0,1600,1105,0,0,1,0,1,0,0
20,15950,30.0,67660.0,110.0,1.0,0,1600,1105,0,0,1,0,1,0,0
21,16950,29.0,43905.0,110.0,0.0,1,1600,1170,0,0,1,0,1,0,0
22,15950,28.0,56349.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
23,16950,28.0,32220.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
24,16250,29.0,25813.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
25,15950,25.0,28450.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
26,17495,27.0,34545.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
27,15750,29.0,41415.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
28,16950,28.0,44142.0,110.0,0.0,0,1600,1120,0,0,1,0,1,0,0
29,17950,30.0,11090.0,110.0,1.0,0,1600,1120,0,0,1,0,1,0,0
30,12950,29.0,9750.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
31,15750,22.0,35199.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
32,15950,27.0,29510.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
33,14950,56.0,32692.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
34,15500,22.0,41000.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
35,15750,26.0,43000.0,97.0,0.0,0,1400,1100,0,0,1,0,1,0,0
36,15950,25.0,25000.0,97.0,0.0,0,1400,1100,0,0,1,0,1,0,0
37,14950,23.0,10000.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
38,15750,32.0,25329.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
39,14750,27.0,27500.0,97.0,0.0,0,1400,1100,0,0,1,0,1,0,0
40,13950,22.0,49059.0,97.0,0.0,0,1400,1100,0,0,1,0,1,0,0
41,16750,27.0,44068.0,97.0,1.0,0,1400,1100,0,0,1,0,1,0,0
42,13950,22.0,46961.0,97.0,0.0,0,1400,1100,0,0,1,0,1,0,0
43,16950,27.0,110404.0,90.0,1.0,0,2000,1255,0,1,0,0,0,0,1
44,16950,22.0,100250.0,90.0,0.0,0,2000,1255,0,0,1,0,0,0,1
45,19000,23.0,84000.0,90.0,1.0,0,2000,1270,0,1,0,0,0,0,1
46,17950,27.0,79375.0,90.0,1.0,0,2000,1255,0,1,0,0,0,0,1
47,15800,22.0,75048.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
48,17950,22.0,72215.0,90.0,1.0,0,2000,1255,0,1,0,0,0,0,1
49,21950,31.0,64982.0,192.0,1.0,0,1800,1195,0,0,1,0,0,0,1
50,17950,22.0,62636.0,90.0,1.0,0,2000,1255,0,1,0,0,0,0,1
51,15750,30.0,57086.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
52,20500,26.0,56000.0,110.0,1.0,1,1600,1180,0,0,1,0,0,0,1
53,21950,27.0,49866.0,192.0,1.0,0,1800,1195,0,0,1,0,0,0,1
54,15500,25.0,49163.0,110.0,0.0,1,1600,1165,0,0,1,0,0,0,1
55,13250,56.0,45725.0,110.0,1.0,0,1600,1075,0,0,1,0,0,0,1
56,15250,28.0,43210.0,97.0,0.0,0,1400,1110,0,0,1,0,0,0,1
57,15250,26.0,43000.0,97.0,0.0,0,1400,1110,0,0,1,0,0,0,1
58,18950,23.0,39704.0,110.0,1.0,1,1600,1180,0,0,1,0,0,0,1
59,15999,30.0,38950.0,110.0,1.0,0,1600,1130,0,0,1,0,0,0,1
60,14950,22.0,37400.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
61,16500,27.0,37177.0,110.0,1.0,0,1600,1130,0,0,1,0,0,0,1
62,18750,31.0,36544.0,110.0,1.0,0,1600,1130,0,0,1,0,0,0,1
63,17950,30.0,33511.0,110.0,1.0,0,1600,1130,0,0,1,0,0,0,1
64,17950,27.0,63634.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
65,16950,26.0,32181.0,110.0,1.0,0,1600,1075,0,0,1,0,0,0,1
66,18950,28.0,30993.0,110.0,1.0,0,1600,1130,0,0,1,0,0,0,1
67,14950,22.0,30400.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
68,22250,22.0,30000.0,110.0,1.0,0,2000,1275,0,1,0,0,0,0,1
69,15950,25.0,29719.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
70,15950,28.0,29206.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
71,12995,32.0,29198.0,97.0,1.0,0,1400,1060,0,0,1,0,0,0,1
72,18950,28.0,28817.0,110.0,1.0,0,1598,1130,0,0,1,0,0,0,1
73,15750,23.0,28227.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
74,19950,28.0,28000.0,110.0,0.0,0,1600,1130,0,0,1,0,0,0,1
75,16950,23.0,28000.0,110.0,1.0,0,1600,1115,0,0,1,0,0,0,1
76,18750,31.0,25266.0,110.0,1.0,0,1600,1130,0,0,1,0,0,0,1
77,18450,27.0,23489.0,110.0,0.0,0,1600,1115,0,0,1,0,0,0,1
78,16895,29.0,22575.0,110.0,1.0,0,1600,1115,0,0,1,0,0,0,1
79,14900,30.0,22000.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
80,18950,25.0,20019.0,110.0,1.0,1,1600,1180,0,0,1,0,0,0,1
81,17250,29.0,20000.0,110.0,1.0,0,1600,1115,0,0,1,0,0,0,1
82,15450,25.0,17003.0,97.0,1.0,0,1400,1110,0,0,1,0,0,0,1
83,17950,56.0,16238.0,110.0,1.0,1,1600,1180,0,0,1,0,0,0,1
